,channelName,subscribers,views,totalVideos,playlistId,publishedAt
0,Aaron Doughty,1450000,141121587,1793,UU48MclMZIY_EaOQwatzCpvw,2014-07-10 04:24:58+00:00
1,The School of Life,8380000,820210489,902,UU7IcJI8PUf5Z3zKxnZvTBog,2010-05-18 16:46:57+00:00
2,Psych2Go,10800000,1477376571,2380,UUkJEpR7JmS36tajD34Gp4VA,2014-10-05 06:27:31+00:00
3,Gaia,1520000,127649328,645,UUFVqzO9_qHVckKqNC95o9tw,2008-08-06 15:26:41+00:00
4,Universe Inside You,1790000,118060252,126,UUOnnmKlDZltHAqJLz-XIpGA,2017-03-30 10:55:39+00:00
5,Mindvalley ,2260000,468381830,1662,UUg3F5jxUrSvJQICen48cX4w,2014-04-23 08:21:13+00:00
6,Gaur Gopal Das,4860000,288878180,356,UUz22l7kbce-uFJAoaZqxD1A,2016-04-12 18:16:24+00:00
7,Vishuddha Das,596000,40838427,381,UUFJZQtrh5Ksncayy2FaoNbQ,2014-09-24 14:04:59+00:00
8,Actualized.org,1100000,107549192,528,UUgeicB5AuF3MyyUto0-M5Lw,2012-01-23 20:08:34+00:00
9,Spirit Science,1300000,79311991,306,UUEcMWs6GudljuLw0-Umf97A,2011-12-29 05:49:29+00:00
